,wavelengths,transmission
457,757,0.0
458,758,0.0
459,759,0.0
460,760,0.0
461,761,0.0
462,762,0.0
463,763,0.0
464,764,0.0
465,765,0.0
466,766,0.0
467,767,0.0
468,768,0.0
469,769,0.0
470,770,0.0
471,771,0.0
472,772,0.0
473,773,0.0
474,774,0.0
475,775,0.0
476,776,0.0
477,777,0.0
478,778,0.0
479,779,0.0
480,780,0.0
481,781,0.0
482,782,0.0
483,783,0.0
484,784,0.0
485,785,0.0
486,786,0.0
487,787,0.0
488,788,0.0
489,789,0.0
490,790,0.0
491,791,0.0
492,792,0.0
493,793,0.0
494,794,0.0
495,795,0.0
496,796,0.0
497,797,0.0
498,798,0.0
499,799,0.0
500,800,0.0
501,801,0.0
502,802,0.0
503,803,0.0
504,804,0.0
505,805,0.0
506,806,0.0
507,807,0.0
508,808,0.0
509,809,0.0
510,810,0.0
511,811,0.0
512,812,0.0
513,813,0.0
514,814,0.0
515,815,0.0
516,816,0.0
517,817,0.0
518,818,0.0
519,819,0.0
520,820,0.0
521,821,0.0
522,822,0.0
523,823,0.0
524,824,0.0
525,825,0.0
526,826,0.0
527,827,0.0
528,828,0.0
529,829,0.0
530,830,0.0
531,831,0.0
532,832,0.0
533,833,0.0
534,834,0.0
535,835,0.0
536,836,0.0
537,837,0.0
538,838,0.0
539,839,0.0
540,840,0.0
541,841,0.0
542,842,0.0
543,843,0.0
544,844,0.0
545,845,0.0
546,846,0.0
547,847,0.0
548,848,0.0
549,849,0.0
550,850,0.0
551,851,0.0
552,852,0.0
553,853,0.0
554,854,0.0
555,855,0.0
556,856,0.0
557,857,0.0
558,858,0.0
559,859,0.0
560,860,0.0
561,861,0.0
562,862,0.0
563,863,0.0
564,864,0.0
565,865,0.0
566,866,0.0
567,867,0.0
568,868,0.0
569,869,0.0
570,870,0.0
571,871,0.0
572,872,0.0
573,873,0.0
574,874,0.0
575,875,0.0
576,876,0.0
577,877,0.0
578,878,0.0
579,879,0.0
580,880,0.0
581,881,0.0
582,882,0.0
583,883,0.0
584,884,0.0
585,885,0.0
586,886,0.0
587,887,0.0
588,888,0.0
589,889,0.0
590,890,0.0
591,891,0.0
592,892,0.0
593,893,0.0
594,894,0.0
595,895,0.0
596,896,0.0
597,897,0.0
598,898,0.0
599,899,0.0
600,900,0.0
601,901,0.0
602,902,0.0
603,903,0.0
604,904,0.0
605,905,0.0
606,906,0.0
607,907,0.0
608,908,0.0
609,909,0.0
610,910,0.0
611,911,0.0
612,912,0.0
613,913,0.0
614,914,0.0
615,915,0.0
616,916,0.0
617,917,0.0
618,918,0.0
619,919,0.0
620,920,0.0
621,921,0.0
622,922,0.0
623,923,0.0
624,924,0.0
625,925,0.0
626,926,0.0
627,927,0.0
628,928,0.0
629,929,0.0
630,930,0.0
631,931,0.0
632,932,0.0
633,933,0.0
634,934,0.0
635,935,0.0
636,936,0.0
637,937,0.0
638,938,0.0
639,939,0.0
640,940,0.0
641,941,0.0
642,942,0.0
643,943,0.0
644,944,0.0
645,945,0.0
646,946,0.0
647,947,0.0
648,948,0.0
649,949,0.0
650,950,0.0
651,951,0.0
652,952,0.0
653,953,0.0
654,954,0.0
655,955,0.0
656,956,0.0
657,957,0.0
658,958,0.0
659,959,0.0
660,960,0.0
661,961,0.0
662,962,0.0
663,963,0.0
664,964,0.0
665,965,0.0
666,966,0.0
667,967,0.0
668,968,0.0
669,969,0.0
670,970,0.0
671,971,0.0
672,972,0.0
673,973,0.0
674,974,0.0
675,975,0.0
676,976,0.0
677,977,0.0
678,978,0.0
679,979,0.0
680,980,0.0
681,981,0.0
682,982,0.0
683,983,0.0
684,984,0.0
685,985,0.0
686,986,0.0
687,987,0.0
688,988,0.0
689,989,0.0
690,990,0.0
691,991,0.0
692,992,0.0
693,993,0.0
694,994,0.0
695,995,0.0
696,996,0.0
697,997,0.0
698,998,0.0
699,999,0.0
700,1000,0.0
701,1001,0.0
702,1002,0.0
703,1003,0.0
704,1004,0.0
705,1005,0.0
706,1006,0.0
707,1007,0.0
708,1008,0.0
709,1009,0.0
710,1010,0.0
711,1011,0.0
712,1012,0.0
713,1013,0.0
714,1014,0.0
715,1015,0.0
716,1016,0.0
717,1017,0.0
718,1018,0.0
719,1019,0.0
720,1020,0.0
721,1021,0.0
722,1022,0.0
723,1023,0.0
724,1024,0.0
725,1025,0.0
726,1026,0.0
727,1027,0.0
728,1028,0.0
729,1029,0.0
730,1030,0.0
731,1031,0.0
732,1032,0.0
733,1033,0.0
734,1034,0.0
735,1035,0.0
736,1036,0.0
737,1037,0.0
738,1038,0.0
739,1039,0.0
740,1040,0.0
741,1041,0.0
742,1042,0.0
743,1043,0.0
744,1044,0.0
745,1045,0.0
746,1046,0.0
747,1047,0.0
748,1048,0.0
749,1049,0.0
750,1050,0.0
751,1051,0.0
752,1052,0.0
753,1053,0.0
754,1054,0.0
755,1055,0.0
756,1056,0.0
757,1057,0.0
758,1058,0.0
759,1059,0.0
760,1060,0.0
761,1061,0.0
762,1062,0.0
763,1063,0.0
764,1064,0.0
765,1065,0.0
766,1066,0.0
767,1067,0.0
768,1068,0.0
769,1069,0.0
770,1070,0.0
771,1071,0.0
772,1072,0.0
773,1073,0.0
774,1074,0.0
775,1075,0.0
776,1076,0.0
777,1077,0.0
778,1078,0.0
779,1079,0.0
780,1080,0.0
781,1081,0.0
782,1082,0.0
783,1083,0.0
784,1084,0.0
785,1085,0.0
786,1086,0.0
787,1087,0.0
788,1088,0.0
789,1089,0.0
790,1090,0.0
791,1091,0.0
792,1092,0.0
793,1093,0.0
794,1094,0.0
795,1095,0.0
796,1096,0.0
797,1097,0.0
798,1098,0.0
799,1099,0.0
800,1100,0.0
